,id_str,id,screen_name,confirmed_account_type,state,twitter_name,real_name,bioguide,office_holder,party,district,level,woman,birthday,last_updated
2563,1684207818.0,1684207818.0,jeffdewitaz,1.0,Arizona,Jeff DeWit,,,,,,,,,2021-04-20
2564,433115617.0,433115617.0,tjshopeforaz,1.0,Arizona,T.J. Shope,,,,,,,,,2021-04-20
2565,9.388730036177265e+17,9.388730036177265e+17,jaredforgov,1.0,Arkansas,Jared Henderson,,,,,,,,,2021-04-20
2566,7.349140918866002e+17,7.349140918866002e+17,amsolidarity,1.0,National,American Solidarity Party,,,,,,,,,2021-04-20
2567,8.469170584619131e+17,8.469170584619131e+17,bigginsforva,1.0,Virginia,,,,,,,,,,2021-04-20
2568,1238822558.0,1238822558.0,furlough2014,1.0,National,Furlough2014,,,,,,,,,2021-04-20
2569,33750798.0,33750798.0,scottwalker,1.0,Wisconsin,Scott Walker,,,,,,,,,2021-04-20
2570,1.1160252826229064e+18,1.1160252826229064e+18,thrasherforwv,1.0,West Virginia,Woody Thrasher,,,,,,,,,2021-04-20
2571,18891923.0,18891923.0,ericcantor,1.0,Virginia,Eric Cantor,Eric Cantor,C001046,2.0,Republican,7.0,3.0,0.0,1963-06-06,2021-04-20
2572,8.659457427704136e+17,8.659457427704136e+17,alicia4swva,1.0,Virginia,Alicia Kallen,,,,,,,,,2021-04-20
2573,16056306.0,16056306.0,jeffflake,1.0,Arizona,Jeff Flake,Jeff Flake,F000444,2.0,Republican,99.0,3.0,0.0,1962-12-31,2021-04-20
2574,44177383.0,44177383.0,gabbygiffords,1.0,Arizona,Gabrielle Giffords,,,,,,,,,2021-04-20
2575,61263431.0,61263431.0,cindymccain,1.0,Arizona,Cindy McCain,,,,,,,,,2021-04-20
2576,1080844782.0,1080844782.0,senatorsinema,1.0,Arizona,Kyrsten Sinema,Kyrsten Sinema,S001191,1.0,Democratic,99.0,3.0,1.0,1976-07-12,2021-04-20
2577,44951059.0,44951059.0,realsheriffjoe,1.0,Arizona,Sheriff Joe Arpaio,,,,,,,,,2021-04-20
2578,359403242.0,359403242.0,kelliwardaz,1.0,Arizona,Dr. Kelli Ward 🇺🇸,,,,,,,,,2021-04-20
2579,292083207.0,292083207.0,ironstache,1.0,Wisconsin,Randy Bryce,,,,,,,,,2021-04-20
2580,40923070.0,40923070.0,govbrewer,1.0,Arizona,Jan Brewer,,,,,,,,,2021-04-20
